suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,lpips,1s,1,0.5032727718353271,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,dreamsim,1s,1,0.5554746389389038,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,lpips,2s,2,0.5330645442008972,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,dreamsim,2s,2,0.5718987584114075,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,lpips,4s,4,0.5630576014518738,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,dreamsim,4s,4,0.5801871418952942,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,lpips,8s,8,0.5874322056770325,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,dreamsim,8s,8,0.5955826044082642,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,lpips,16s,16,0.6103711724281311,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,dreamsim,16s,16,0.614292562007904,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,fid,1s,1,186.1508331298828,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
eval_b_scand_128_text_dense,nwm_cdit_b_recon_128_text_dense_0030000,B,128,Text,CDiT-B 128px Text,0030000,30000,time,fid,2s,2,186.12066650390625,artifacts/summaries/eval_scand_text/eval_b_scand_128_text_dense/nwm_cdit_b_recon_128_text_dense_0030000/scand_time.json
