series,step,run_name,metric,horizon,value,source_path
128 No Text,35000,nwm_cdit_s_recon_128_0035000,dreamsim,8s,0.2050890475511551,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,dreamsim,16s,0.255855530500412,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,fid,1s,32.457763671875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,fid,2s,32.24458312988281,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,fid,4s,32.30718994140625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,fid,8s,31.831680297851562,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,fid,16s,36.82249450683594,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,lpips,1s,0.250949889421463,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,lpips,2s,0.2743137776851654,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,lpips,4s,0.29669877886772156,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,lpips,8s,0.3270816206932068,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,35000,nwm_cdit_s_recon_128_0035000,lpips,16s,0.39533326029777527,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0035000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,dreamsim,1s,0.17208173871040344,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,dreamsim,2s,0.17904165387153625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,dreamsim,4s,0.1891915649175644,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,dreamsim,8s,0.20777136087417603,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,dreamsim,16s,0.24967795610427856,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,fid,1s,32.61405944824219,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,fid,2s,32.566497802734375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,fid,4s,33.15547180175781,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,fid,8s,32.20896911621094,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,fid,16s,37.21368408203125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,lpips,1s,0.2454952895641327,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,lpips,2s,0.2689622938632965,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,lpips,4s,0.29465553164482117,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,lpips,8s,0.3322335481643677,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,40000,nwm_cdit_s_recon_128_0040000,lpips,16s,0.3926164507865906,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0040000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,dreamsim,1s,0.1671837568283081,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,dreamsim,2s,0.17981275916099548,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,dreamsim,4s,0.1860007643699646,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,dreamsim,8s,0.202535018324852,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,dreamsim,16s,0.24789544939994812,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,fid,1s,31.929702758789062,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,fid,2s,32.033203125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,fid,4s,31.469146728515625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,fid,8s,31.95721435546875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,fid,16s,36.755096435546875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,lpips,1s,0.24218890070915222,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,lpips,2s,0.26840993762016296,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,lpips,4s,0.2917938232421875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,lpips,8s,0.3256329894065857,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,45000,nwm_cdit_s_recon_128_0045000,lpips,16s,0.3875657320022583,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0045000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,dreamsim,1s,0.16635440289974213,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,dreamsim,2s,0.17461492121219635,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,dreamsim,4s,0.18585294485092163,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,dreamsim,8s,0.1992216557264328,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,dreamsim,16s,0.24457353353500366,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,fid,1s,32.61653137207031,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
128 No Text,50000,nwm_cdit_s_recon_128_0050000,fid,2s,31.759918212890625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0050000/recon_time.json
